,num hidden 1,num hidden 2,num hidden 3,f1,auc,acc,recall,precision,time
0,64,64,64,0.8388410667547032,0.9034222222222222,0.7641333333333333,0.8807333333333334,0.8026076157596405,98.09742840379985
1,64,64,128,0.8403652202046465,0.9050111111111111,0.7607999999999999,0.8843333333333334,0.8021647072259597,111.58281124399946
2,64,64,256,0.8578166622571439,0.9121333333333335,0.8033333333333333,0.8827333333333334,0.8343042557518849,136.92381013039994
3,64,128,64,0.8419353186855181,0.9044222222222222,0.7734000000000001,0.8800666666666667,0.80903701180199,110.6645097820001
4,64,128,128,0.8607555929245683,0.9130333333333333,0.8148,0.8817333333333334,0.8407664468363706,125.44161233660051
5,64,128,256,0.8582071841791095,0.9119555555555555,0.8086,0.8815333333333335,0.836118861441409,159.99289986840012
6,64,256,64,0.8593412221142784,0.9109777777777778,0.8206666666666667,0.8764000000000001,0.8429508128719443,138.5733657193996
7,64,256,128,0.8586924392491037,0.9122666666666668,0.8116,0.8819333333333332,0.8366541219767332,165.15783373680023
8,64,256,256,0.8555479738768159,0.9102333333333334,0.8027333333333333,0.8791333333333332,0.8332044627792298,207.63191856099985
9,128,64,64,0.8447284077882589,0.9064777777777777,0.7744666666666665,0.8832666666666666,0.8113734515580477,129.82430396419986
10,128,64,128,0.8591021426566032,0.9125777777777777,0.8099333333333334,0.8824666666666667,0.8369566136750668,142.27432426660016
11,128,64,256,0.8582189443717836,0.9120333333333333,0.8066666666666666,0.8818000000000001,0.8359036563921636,170.43484613139952
12,128,128,64,0.8584588565657049,0.9107666666666667,0.8186,0.8768666666666667,0.8408674815019642,144.8709501995989
13,128,128,128,0.8601888509168589,0.9126,0.8158,0.881,0.84035450852209,159.0018800589991
14,128,128,256,0.8577302405056055,0.9118777777777776,0.8043333333333333,0.8819333333333335,0.8348416783445896,189.83807457580116
15,128,256,64,0.8592408804281473,0.9114222222222222,0.8221999999999999,0.8781333333333332,0.8411574575870266,179.33447689259918
16,128,256,128,0.8612367710458161,0.9141888888888889,0.8164666666666667,0.8852,0.8385497585602628,203.07773440699967
17,128,256,256,0.8580892644739023,0.9116333333333333,0.8084666666666666,0.8805333333333334,0.8367736746059882,245.23486565100103
18,256,64,64,0.8597535888765307,0.9126111111111112,0.8146666666666667,0.8816666666666666,0.8389811837440074,201.8856031518
19,256,64,128,0.858236934979403,0.9121,0.8091333333333333,0.882,0.8357435722217327,212.89634968099926
20,256,64,256,0.8579577724380332,0.9115777777777778,0.8036666666666668,0.8805333333333334,0.8365386102836654,239.05967897340014
21,256,128,64,0.8617090107993046,0.9135,0.8210666666666666,0.8820666666666668,0.8422897177642488,228.54852831559984
22,256,128,128,0.8593923353749677,0.9117444444444445,0.8162666666666667,0.8790666666666667,0.8406295309265349,243.26381472660069
23,256,128,256,0.8572817847415726,0.9114222222222222,0.8052666666666667,0.8809333333333333,0.8348943840050908,277.0688466841995
24,256,256,64,0.8599760200013964,0.9115333333333332,0.8237333333333332,0.8774666666666666,0.8431762263977506,271.52090936099995
25,256,256,128,0.859129959024713,0.9119555555555555,0.8155333333333333,0.8802,0.8390585249845696,295.74567538340125
26,256,256,256,0.8599918496563144,0.9125888888888889,0.8105999999999998,0.8812666666666666,0.8397777487158701,336.6886186227988
