,f1,accuracy,recall,precision,confusion matrix
0,0.82,0.82,0.82,0.82,"[[   4    6   10   22    0]
 [   2  279   90   40    0]
 [   2   41 1071   34    0]
 [   0   13   63  286    5]
 [   0    2    8   22    0]]"
1,0.8245,0.8245,0.8245,0.8245,"[[   2    4   13   23    0]
 [   4  286   89   32    1]
 [   0   34 1082   31    0]
 [   1   25   64  275    2]
 [   0    1   12   15    4]]"
2,0.808,0.808,0.808,0.808,"[[   0    9   14   19    0]
 [   0  282  101   27    1]
 [   1   56 1052   38    0]
 [   1   16   71  279    1]
 [   0    1    4   24    3]]"
3,0.818,0.818,0.818,0.818,"[[   2    6   12   23    0]
 [   3  283   93   31    1]
 [   0   37 1079   31    0]
 [   5   34   60  268    0]
 [   0    1    8   19    4]]"
4,0.8135,0.8135,0.8135,0.8135,"[[   4    3   11   24    0]
 [   1  274   96   40    0]
 [   3   46 1064   34    0]
 [   0   27   54  281    5]
 [   0    2    8   19    4]]"
