,f1,accuracy,recall,precision,confusion matrix
0,0.8325,0.8325,0.8325,0.8325,"[[   0    4   16   22    0]
 [   0  292   99   20    0]
 [   0   27 1102   19    0]
 [   0   25   71  271    0]
 [   0    1   12   19    0]]"
1,0.821,0.821,0.821,0.821,"[[   0    2   10   30    0]
 [   0  275  110   27    0]
 [   0   30 1098   19    0]
 [   0   25   73  269    0]
 [   0    1   12   19    0]]"
2,0.8375,0.8375,0.8375,0.8375,"[[   0    6   20   16    0]
 [   0  284  108   19    0]
 [   0   31 1095   21    0]
 [   0   18   54  296    0]
 [   0    2   10   20    0]]"
3,0.8289999999999998,0.829,0.829,0.829,"[[   0    0   21   22    0]
 [   0  291  106   14    0]
 [   0   33 1091   23    0]
 [   0   21   70  276    0]
 [   0    0   14   18    0]]"
4,0.827,0.827,0.827,0.827,"[[   0    1   17   24    0]
 [   0  275  120   16    0]
 [   0   21 1114   12    0]
 [   0   24   78  265    0]
 [   0    0   15   18    0]]"
