,f1,accuracy,recall,precision,confusion matrix
0,0.831,0.831,0.831,0.831,"[[   0    3   30    9    0]
 [   0  301   99   11    0]
 [   0    8 1133    7    0]
 [   0   25  114  228    0]
 [   0    0   18   14    0]]"
1,0.8165,0.8165,0.8165,0.8165,"[[   0    1   26   15    0]
 [   0  280  117   15    0]
 [   0   17 1121    9    0]
 [   0   29  106  232    0]
 [   0    1   10   21    0]]"
2,0.8395000000000001,0.8395,0.8395,0.8395,"[[   0    2   30   10    0]
 [   0  291  108   12    0]
 [   0   14 1126    7    0]
 [   0   16   90  262    0]
 [   0    0   12   20    0]]"
3,0.8345,0.8345,0.8345,0.8345,"[[   0    4   25   14    0]
 [   0  295  108    8    0]
 [   0   12 1129    6    0]
 [   0   27   95  245    0]
 [   0    0    7   25    0]]"
4,0.833,0.833,0.833,0.833,"[[   0    3   26   13    0]
 [   0  287  119    5    0]
 [   0   14 1129    4    0]
 [   0   17  100  250    0]
 [   0    0   13   20    0]]"
