,f1,accuracy,recall,precision,confusion matrix
0,0.8215,0.8215,0.8215,0.8215,"[[   0    2   30   10    0]
 [   0  287  116    8    0]
 [   0    9 1133    6    0]
 [   0   26  118  223    0]
 [   0    0   18   14    0]]"
1,0.8140000000000001,0.814,0.814,0.814,"[[   0    1   24   17    0]
 [   0  268  131   13    0]
 [   0   10 1129    8    0]
 [   0   26  110  231    0]
 [   0    1   13   18    0]]"
2,0.8265,0.8265,0.8265,0.8265,"[[   0    3   29   10    0]
 [   0  280  122    9    0]
 [   0   10 1132    5    0]
 [   0   17  110  241    0]
 [   0    1   13   18    0]]"
3,0.83,0.83,0.83,0.83,"[[   0    1   25   17    0]
 [   0  286  120    5    0]
 [   0    9 1134    4    0]
 [   0   22  105  240    0]
 [   0    0    8   24    0]]"
4,0.823,0.823,0.823,0.823,"[[   0    0   20   22    0]
 [   0  291  117    3    0]
 [   0   17 1128    2    0]
 [   0   24  116  227    0]
 [   0    0   16   17    0]]"
