,f1,accuracy,recall,precision,confusion matrix
0,0.822,0.822,0.822,0.822,"[[   0    2   20   20    0]
 [   0  292  100   19    0]
 [   0   31 1094   23    0]
 [   0   30   79  258    0]
 [   0    1   14   17    0]]"
1,0.8115,0.8115,0.8115,0.8115,"[[   0    3   12   27    0]
 [   0  272  115   25    0]
 [   0   33 1087   27    0]
 [   0   23   80  264    0]
 [   0    0    9   23    0]]"
2,0.8245,0.8245,0.8245,0.8245,"[[   0    3   20   19    0]
 [   0  282  109   20    0]
 [   0   29 1097   21    0]
 [   0   19   79  270    0]
 [   0    2    9   21    0]]"
3,0.825,0.825,0.825,0.825,"[[   0    3   21   19    0]
 [   0  284  110   17    0]
 [   0   38 1086   23    0]
 [   0   20   67  280    0]
 [   0    0   13   19    0]]"
4,0.8275,0.8275,0.8275,0.8275,"[[   0    1   16   25    0]
 [   0  287  108   16    0]
 [   0   17 1113   17    0]
 [   0   23   89  255    0]
 [   0    0   14   19    0]]"
