,f1,accuracy,recall,precision,confusion matrix
0,0.769,0.769,0.769,0.769,"[[ 27   2   0  11   2]
 [ 24 349  16  16   6]
 [ 36 114 928  36  34]
 [ 50  35   5 216  61]
 [  4   1   3   6  18]]"
1,0.7435,0.7435,0.7435,0.7435,"[[ 24   3   2  12   1]
 [ 42 325  20  20   5]
 [ 31 110 918  41  47]
 [ 58  37   5 205  62]
 [  4   1   1  11  15]]"
2,0.767,0.767,0.767,0.767,"[[ 28   4   0   8   2]
 [ 37 329  26  17   2]
 [ 23 106 939  45  34]
 [ 59  26   5 220  58]
 [  2   1   0  11  18]]"
3,0.762,0.762,0.762,0.762,"[[ 27   1   0   9   6]
 [ 30 339  25  15   2]
 [ 32 122 918  31  44]
 [ 45  29   2 222  69]
 [  4   0   0  10  18]]"
4,0.776,0.776,0.776,0.776,"[[ 27   2   0  11   2]
 [ 27 342  17  20   5]
 [ 26  94 955  43  29]
 [ 62  33  10 208  54]
 [  3   1   1   8  20]]"
