,f1,accuracy,recall,precision,confusion matrix
0,0.8585,0.8585,0.8585,0.8585,"[[   0    7    9   26    0]
 [   0  341   50   20    0]
 [   0   51 1070   27    0]
 [   0   34   27  306    0]
 [   0    1   11   20    0]]"
1,0.8459999999999999,0.846,0.846,0.846,"[[   0    6    6   30    0]
 [   0  325   60   27    0]
 [   0   45 1071   31    0]
 [   0   35   36  296    0]
 [   0    1    7   24    0]]"
2,0.8619999999999999,0.862,0.862,0.862,"[[   0    5   16   21    0]
 [   0  325   68   18    0]
 [   0   40 1086   21    0]
 [   0   30   25  313    0]
 [   0    1    5   26    0]]"
3,0.8619999999999999,0.862,0.862,0.862,"[[   0    7   10   26    0]
 [   0  337   58   16    0]
 [   0   43 1079   25    0]
 [   0   29   30  308    0]
 [   0    1    5   26    0]]"
4,0.8625,0.8625,0.8625,0.8625,"[[   0    3    6   33    0]
 [   0  330   57   24    0]
 [   0   34 1097   16    0]
 [   0   29   40  298    0]
 [   0    0   11   22    0]]"
