,perplexity,coherence,homogeneity,completeness,silhouette,time,train time,test time,evaluation time,topic words,numClusters,numTopics,numAbstracts,preprocessing?
2,"[792.1867724321255, 789.9203764792021, 789.4070785248366, 791.8621543612911, 792.84006363624]","[-11.28567060729528, -11.292579986094504, -11.27664223718997, -11.330209435145683, -11.282553774068852]","[0.2976001557014102, 0.3210277595292724, 0.32407178427291566, 0.2932257484817868, 0.3012548222163067]","[0.5129936810411425, 0.5497462491374795, 0.553855914896002, 0.5060466619560111, 0.5165165026861954]","[0.051283684, 0.05424595, 0.05286337, 0.05109505, 0.052735765]","[14.031310436999775, 14.41634739699657, 14.518044886004645, 14.891898875001061, 14.137417150996043]","[8.83558423499926, 9.17199114899995, 9.331759382002929, 9.602761891001137, 8.99085206399468]","[0.8483945990010398, 0.8055780599970603, 0.8135057239996968, 0.9400051859993255, 0.7620719950064085]","[4.347327513001801, 4.438773788002436, 4.37277696000092, 4.34912783800246, 4.38449036199745]","[{0: ['model', 'method', 'result', 'propose', 'system', 'problem', 'base', 'paper', 'network', 'time'], 1: ['model', 'field', 'energy', 'find', 'state', 'result', 'high', 'study', 'mass', 'phase']}, {0: ['model', 'field', 'energy', 'state', 'find', 'result', 'high', 'study', 'phase', 'mass'], 1: ['model', 'method', 'result', 'propose', 'problem', 'base', 'paper', 'system', 'network', 'datum']}, {0: ['model', 'method', 'result', 'propose', 'problem', 'base', 'paper', 'system', 'network', 'datum'], 1: ['model', 'field', 'energy', 'state', 'find', 'result', 'study', 'high', 'system', 'mass']}, {0: ['model', 'field', 'energy', 'find', 'state', 'result', 'high', 'study', 'phase', 'mass'], 1: ['model', 'method', 'result', 'propose', 'problem', 'system', 'base', 'paper', 'network', 'time']}, {0: ['model', 'field', 'energy', 'find', 'state', 'result', 'study', 'high', 'phase', 'mass'], 1: ['model', 'method', 'result', 'propose', 'problem', 'base', 'system', 'paper', 'network', 'time']}]",2,8,40000,True
4,"[715.105995061727, 712.3369196374513, 740.9533272239075, 711.6839995184254, 728.0358218693926]","[-11.519821282946278, -12.315178673574586, -11.16915014396631, -13.18625830470075, -13.057435351344566]","[0.4659512374539563, 0.43049403727020724, 0.39742147251149174, 0.444450405403165, 0.4346820731810475]","[0.41241976621788623, 0.37579586941616205, 0.3708489566395753, 0.393612887415056, 0.3752189620961356]","[0.04775123, 0.044865258, 0.03685289, 0.04741607, 0.026064053]","[14.39532242599671, 15.887707060996036, 14.437651950000145, 13.939453207996849, 14.297075177993975]","[9.19891613299842, 9.441477009000664, 9.21407836299477, 8.835862077998172, 8.935634682995442]","[0.8806757749989629, 0.8520472049931413, 0.8015547150062048, 0.8107147970004007, 0.8380430410034023]","[4.315726717999496, 5.594179597006587, 4.422014491996379, 4.292872243000602, 4.523393443996611]","[{0: ['star', 'mass', 'galaxy', 'model', 'find', '10', 'high', 'ray', 'datum', 'cluster'], 1: ['model', 'method', 'propose', 'network', 'base', 'datum', 'system', 'approach', 'algorithm', 'paper'], 2: ['field', 'state', 'model', 'quantum', 'energy', 'phase', 'system', 'spin', 'theory', 'magnetic'], 3: ['function', 'result', 'space', 'problem', 'group', 'solution', 'prove', 'paper', 'equation', 'case']}, {0: ['state', 'quantum', 'field', 'model', 'energy', 'phase', 'spin', 'system', 'effect', 'interaction'], 1: ['model', 'method', 'propose', 'network', 'base', 'datum', 'algorithm', 'system', 'approach', 'problem'], 2: ['equation', 'function', 'result', 'space', 'solution', 'theory', 'time', 'problem', 'group', 'prove'], 3: ['star', 'galaxy', 'mass', 'model', 'high', 'find', '10', 'ray', 'cluster', 'observation']}, {0: ['theory', 'function', 'quantum', 'equation', 'result', 'problem', 'solution', 'time', 'system', 'case'], 1: ['model', 'method', 'propose', 'network', 'base', 'datum', 'system', 'algorithm', 'approach', 'paper'], 2: ['field', 'galaxy', 'group', 'cluster', 'magnetic', 'algebra', 'space', 'star', 'mathbb', 'magnetic field'], 3: ['model', 'energy', 'mass', 'find', 'state', 'high', 'phase', 'effect', 'result', 'temperature']}, {0: ['function', 'space', 'result', 'theory', 'equation', 'solution', 'group', 'problem', 'prove', 'case'], 1: ['model', 'method', 'propose', 'base', 'network', 'datum', 'algorithm', 'system', 'approach', 'problem'], 2: ['star', 'galaxy', 'mass', 'model', 'find', '10', 'ray', 'high', 'cluster', 'emission'], 3: ['state', 'field', 'model', 'energy', 'quantum', 'phase', 'spin', 'magnetic', 'system', 'effect']}, {0: ['model', 'method', 'propose', 'base', 'network', 'datum', 'algorithm', 'system', 'approach', 'problem'], 1: ['quantum', 'result', 'function', 'space', 'system', 'state', 'group', 'prove', 'study', 'number'], 2: ['model', 'energy', 'theory', 'equation', 'field', 'particle', 'result', 'solution', 'mass', 'parameter'], 3: ['star', 'find', 'field', 'high', 'magnetic', 'model', 'galaxy', 'temperature', 'phase', 'low']}]",4,8,40000,True
6,"[698.1161735614711, 703.1328368256078, 702.0894685489118, 705.0152500030651, 703.4077458691219]","[-12.064294013459401, -12.785244584838244, -11.437447769589154, -12.249409331049618, -11.945441681954074]","[0.43908964965956004, 0.45220673590878646, 0.479403836894769, 0.43941325694000805, 0.4901888577071952]","[0.2983949599566815, 0.32916566095043626, 0.323271133640828, 0.30517704484037267, 0.3447495059317316]","[0.02215131, 0.02586418, 0.030098144, 0.020554917, 0.021609925]","[14.371329387002334, 14.24034995099646, 14.603867317004187, 14.66982543800259, 14.375677916999848]","[9.171300867004902, 8.988178462997894, 9.299664022000798, 9.341225472002407, 9.11172219600121]","[0.7464595239944174, 0.7514967960014474, 0.8051796919971821, 0.7731332350012963, 0.8364077340011136]","[4.453563986004156, 4.500671021996823, 4.499019913004304, 4.555462771000748, 4.427543666999554]","[{0: ['equation', 'time', 'problem', 'solution', 'function', 'result', 'system', 'case', 'number', 'graph'], 1: ['model', 'method', 'propose', 'network', 'base', 'datum', 'algorithm', 'system', 'approach', 'paper'], 2: ['model', 'energy', 'mass', 'matter', 'result', 'decay', 'datum', 'parameter', 'dark', 'particle'], 3: ['theory', 'group', 'space', 'field', 'result', 'algebra', 'operator', 'quantum', 'prove', 'function'], 4: ['state', 'field', 'quantum', 'phase', 'magnetic', 'spin', 'temperature', 'system', 'effect', 'transition'], 5: ['star', 'galaxy', 'ray', 'mass', 'find', 'high', 'cluster', 'emission', '10', 'source']}, {0: ['quantum', 'field', 'system', 'state', 'model', 'effect', 'magnetic', 'energy', 'study', 'temperature'], 1: ['model', 'energy', 'mass', 'theory', 'matter', 'decay', 'field', 'hole', 'black', 'result'], 2: ['function', 'space', 'result', 'equation', 'solution', 'theory', 'group', 'problem', 'prove', 'case'], 3: ['star', 'ray', 'galaxy', 'emission', 'high', 'mass', 'observation', 'line', 'source', 'find'], 4: ['model', 'method', 'propose', 'network', 'base', 'datum', 'algorithm', 'approach', 'system', 'problem'], 5: ['phase', 'spin', 'state', 'transition', 'rm', 'galaxy', 'density', 'cluster', 'find', 'model']}, {0: ['group', 'space', 'prove', 'result', 'function', 'graph', 'set', 'number', 'algebra', 'paper'], 1: ['state', 'field', 'phase', 'quantum', 'spin', 'magnetic', 'energy', 'temperature', 'system', 'interaction'], 2: ['model', 'network', 'propose', 'method', 'base', 'algorithm', 'datum', 'system', 'problem', 'approach'], 3: ['equation', 'theory', 'solution', 'model', 'field', 'system', 'time', 'quantum', 'non', 'problem'], 4: ['star', 'mass', 'galaxy', 'model', 'find', 'ray', 'high', '10', 'energy', 'cluster'], 5: ['model', 'distribution', 'time', 'result', 'method', 'function', 'parameter', 'datum', 'study', 'analysis']}, {0: ['state', 'field', 'phase', 'quantum', 'spin', 'magnetic', 'model', 'effect', 'energy', 'system'], 1: ['graph', 'number', 'group', 'mathbb', 'set', 'result', 'mathcal', 'prove', 'model', 'lambda'], 2: ['star', 'high', 'line', 'emission', 'find', 'observation', 'source', 'region', 'disk', 'low'], 3: ['mass', 'model', 'energy', 'galaxy', 'ray', 'datum', 'matter', 'black', 'hole', 'find'], 4: ['equation', 'space', 'solution', 'function', 'theory', 'result', 'time', 'system', 'quantum', 'non'], 5: ['model', 'method', 'propose', 'network', 'base', 'datum', 'algorithm', 'system', 'approach', 'problem']}, {0: ['function', 'result', 'space', 'problem', 'prove', 'group', 'paper', 'set', 'number', 'case'], 1: ['star', 'galaxy', 'mass', 'cluster', 'model', 'find', 'formation', 'stellar', 'field', 'density'], 2: ['energy', 'ray', 'high', 'source', 'emission', 'datum', '10', 'measurement', 'optical', 'observation'], 3: ['state', 'quantum', 'system', 'phase', 'field', 'model', 'spin', 'energy', 'study', 'temperature'], 4: ['model', 'theory', 'field', 'gauge', 'symmetry', 'mass', 'scalar', 'matter', 'quark', 'non'], 5: ['model', 'method', 'propose', 'network', 'base', 'datum', 'algorithm', 'system', 'approach', 'paper']}]",6,8,40000,True
8,"[698.6312754896647, 696.8202124223591, 688.21884092204, 700.9776697299473, 705.3772433572734]","[-12.005267784178189, -11.935779629755803, -11.838462537994666, -11.378949117157726, -12.93618747792183]","[0.4378781125085874, 0.4575078595912528, 0.4823135914135472, 0.4948255971003759, 0.444354590727511]","[0.267438092870219, 0.27194083629204935, 0.2804781371575841, 0.289886100405658, 0.2600355643105215]","[0.011976146, 0.020718005, 0.015585791, 0.018935494, 0.015675852]","[14.610404297003697, 14.871243075001985, 15.361694104998605, 14.592658918001689, 15.132974669999385]","[9.277019859000575, 9.591648347995942, 9.429930407000938, 9.28262349400029, 9.645886539998173]","[0.8943226370029151, 0.7557418220021646, 0.7795176369982073, 0.830288732999179, 0.9052159350030706]","[4.439058330994158, 4.523849174998759, 5.152243381002336, 4.479742451003403, 4.581868235000002]","[{0: ['energy', 'model', 'mass', 'decay', 'quark', 'gamma', 'neutrino', 'datum', 'result', 'pi'], 1: ['quantum', 'model', 'system', 'provide', 'information', 'study', 'matter', 'new', 'dark', 'state'], 2: ['star', 'galaxy', 'mass', 'cluster', 'model', 'formation', 'velocity', 'find', 'gas', 'stellar'], 3: ['network', 'model', 'propose', 'datum', 'method', 'image', 'base', 'learning', 'task', 'performance'], 4: ['ray', 'source', 'emission', 'hole', 'black', 'high', 'line', 'observation', 'black hole', 'radio'], 5: ['state', 'field', 'phase', 'spin', 'magnetic', 'system', 'temperature', 'model', 'energy', 'transition'], 6: ['space', 'theory', 'equation', 'result', 'function', 'group', 'solution', 'prove', 'case', 'field'], 7: ['method', 'algorithm', 'problem', 'time', 'model', 'propose', 'system', 'base', 'result', 'paper']}, {0: ['star', 'galaxy', 'mass', 'ray', 'find', 'model', 'cluster', 'high', 'emission', '10'], 1: ['model', 'energy', 'mass', 'decay', 'theory', 'hole', 'black', 'gauge', 'quark', 'result'], 2: ['group', 'network', 'algebra', 'system', 'code', 'paper', 'matrix', 'channel', 'node', 'power'], 3: ['graph', 'number', 'result', 'prove', 'set', 'function', 'mathbb', 'bound', 'space', 'mathcal'], 4: ['field', 'phase', 'magnetic', 'temperature', 'spin', 'state', 'model', 'energy', 'effect', 'transition'], 5: ['model', 'method', 'propose', 'datum', 'base', 'network', 'algorithm', 'approach', 'performance', 'result'], 6: ['equation', 'solution', 'theory', 'function', 'space', 'time', 'problem', 'field', 'non', 'result'], 7: ['quantum', 'state', 'system', 'measurement', 'time', 'optical', 'noise', 'information', 'photon', 'classical']}, {0: ['equation', 'solution', 'function', 'time', 'problem', 'method', 'result', 'distribution', 'obtain', 'order'], 1: ['state', 'quantum', 'phase', 'field', 'magnetic', 'spin', 'temperature', 'system', 'model', 'transition'], 2: ['system', 'network', 'model', 'base', 'propose', 'time', 'paper', 'control', 'problem', 'design'], 3: ['group', 'space', 'result', 'graph', 'prove', 'set', 'algebra', 'number', 'class', 'paper'], 4: ['energy', 'measurement', 'datum', 'high', 'gamma', 'photon', 'signal', 'result', '10', 'experiment'], 5: ['model', 'method', 'propose', 'datum', 'base', 'network', 'image', 'algorithm', 'approach', 'learning'], 6: ['star', 'galaxy', 'mass', 'cluster', 'model', 'find', 'line', 'emission', 'high', 'observation'], 7: ['model', 'theory', 'field', 'mass', 'matter', 'energy', 'symmetry', 'gauge', 'quark', 'black']}, {0: ['star', 'galaxy', 'mass', 'ray', 'find', 'model', 'cluster', '10', 'high', 'emission'], 1: ['model', 'phase', 'transition', 'order', 'result', 'temperature', 'study', 'state', 'interaction', 'lattice'], 2: ['theory', 'field', 'model', 'graph', 'symmetry', 'gauge', 'scalar', 'black', 'hole', 'lambda'], 3: ['magnetic', 'field', 'energy', 'spin', 'electron', 'state', 'high', 'effect', 'magnetic field', 'surface'], 4: ['quantum', 'system', 'time', 'state', 'equation', 'dynamic', 'model', 'particle', 'non', 'energy'], 5: ['model', 'method', 'propose', 'network', 'base', 'datum', 'approach', 'system', 'performance', 'paper'], 6: ['group', 'space', 'algebra', 'prove', 'result', 'class', 'paper', 'mathbb', 'finite', 'structure'], 7: ['problem', 'function', 'solution', 'result', 'algorithm', 'method', 'equation', 'time', 'paper', 'number']}, {0: ['system', 'model', 'time', 'equation', 'energy', 'state', 'phase', 'particle', 'study', 'density'], 1: ['model', 'datum', 'study', 'network', 'system', 'process', 'analysis', 'base', 'provide', 'paper'], 2: ['quantum', 'problem', 'method', 'algorithm', 'theory', 'function', 'matrix', 'solution', 'result', 'state'], 3: ['star', 'galaxy', 'mass', 'ray', '10', 'find', 'high', 'cluster', 'model', 'emission'], 4: ['field', 'magnetic', 'spin', 'state', 'energy', 'model', 'electron', 'effect', 'phase', 'temperature'], 5: ['graph', 'number', 'mathcal', 'set', 'lambda', 'mathbb', 'result', 'gamma', 'to', 'in'], 6: ['space', 'group', 'theory', 'algebra', 'result', 'operator', 'prove', 'solution', 'equation', 'field'], 7: ['propose', 'method', 'model', 'network', 'base', 'performance', 'image', 'datum', 'learning', 'approach']}]",8,8,40000,True
10,"[696.241156888902, 689.1773470149169, 689.7582627459127, 698.6384162201277, 696.3412236155623]","[-11.864300293390787, -11.627154578096777, -11.261365880393294, -12.349784532245998, -13.566593506622368]","[0.4846230918160842, 0.47430747326362316, 0.47750958056459514, 0.4641469363640057, 0.4865534087988055]","[0.25726646653458274, 0.25566104288281855, 0.25343410520291426, 0.2537861834897189, 0.262788409846148]","[0.009548793, 0.0067723123, 0.014430491, 0.009712118, 0.009559466]","[15.100441333001072, 14.826127957996505, 15.49573217300349, 15.307954994998, 14.718329205999908]","[9.720006208000996, 9.386084594996646, 9.951395326002967, 9.884760543995071, 9.445487141994818]","[0.7913446149977972, 0.7762390220013913, 0.7972461440003826, 0.7895104560011532, 0.7712174370026332]","[4.589086200001475, 4.663800750997325, 4.747086652998405, 4.633680825005285, 4.501620846996957]","[{0: ['wave', 'energy', 'particle', 'system', 'interaction', 'model', 'time', 'density', 'dynamic', 'frequency'], 1: ['group', 'graph', 'prove', 'space', 'algebra', 'mathbb', 'result', 'set', 'number', 'mathcal'], 2: ['model', 'mass', 'matter', 'decay', 'dark', 'theory', 'scale', 'quark', 'parameter', 'field'], 3: ['algorithm', 'method', 'problem', 'model', 'propose', 'network', 'time', 'base', 'system', 'result'], 4: ['magnetic', 'field', 'phase', 'temperature', 'transition', 'spin', 'magnetic field', 'effect', 'structure', 'surface'], 5: ['quantum', 'state', 'system', 'spin', 'measurement', 'information', 'ground', 'channel', 'noise', 'optical'], 6: ['star', 'galaxy', 'mass', 'cluster', 'find', 'model', 'emission', 'observation', 'line', 'high'], 7: ['energy', 'gamma', 'cross', 'datum', 'high', 'collision', 'section', 'production', 'detector', '10'], 8: ['theory', 'equation', 'solution', 'function', 'space', 'result', 'operator', 'field', 'problem', 'condition'], 9: ['model', 'datum', 'method', 'propose', 'base', 'network', 'image', 'task', 'learning', 'approach']}, {0: ['model', 'network', 'datum', 'propose', 'base', 'method', 'approach', 'learning', 'task', 'performance'], 1: ['group', 'space', 'function', 'theory', 'result', 'operator', 'algebra', 'prove', 'paper', 'class'], 2: ['equation', 'field', 'solution', 'energy', 'time', 'model', 'theory', 'system', 'state', 'wave'], 3: ['problem', 'algorithm', 'method', 'time', 'system', 'quantum', 'model', 'propose', 'result', 'state'], 4: ['cluster', 'mass', 'galaxy', 'model', 'dark', 'matter', '10', 'rm', 'scale', 'parameter'], 5: ['method', 'high', 'image', 'signal', 'measurement', 'frequency', 'base', 'noise', 'optical', 'beam'], 6: ['graph', 'mathbb', 'mathcal', 'number', 'set', 'alpha', 'in', 'lambda', 'prove', 'result'], 7: ['phase', 'magnetic', 'state', 'spin', 'field', 'temperature', 'transition', 'effect', 'model', 'interaction'], 8: ['star', 'ray', 'emission', 'line', 'high', 'observation', 'source', 'find', 'galaxy', 'disk'], 9: ['model', 'energy', 'decay', 'gauge', 'theory', 'quark', 'mass', 'result', 'pi', 'loop']}, {0: ['graph', 'prove', 'result', 'number', 'group', 'set', 'function', 'mathbb', 'mathcal', 'paper'], 1: ['star', 'galaxy', 'mass', 'ray', 'cluster', 'find', 'emission', 'high', '10', 'observation'], 2: ['quantum', 'system', 'state', 'hole', 'black', 'time', 'black hole', 'classical', 'photon', 'entropy'], 3: ['energy', 'model', 'mass', 'decay', 'matter', 'quark', 'neutrino', 'particle', 'result', 'dark'], 4: ['network', 'image', 'propose', 'neural', 'object', 'base', 'neural network', 'method', 'agent', '3d'], 5: ['field', 'magnetic', 'phase', 'spin', 'temperature', 'state', 'transition', 'electron', 'effect', 'energy'], 6: ['algorithm', 'method', 'problem', 'propose', 'base', 'paper', 'result', 'time', 'model', 'optimal'], 7: ['model', 'time', 'dynamic', 'simulation', 'study', 'result', 'process', 'system', 'distribution', 'particle'], 8: ['theory', 'equation', 'solution', 'space', 'field', 'non', 'function', 'dimensional', 'result', 'algebra'], 9: ['model', 'datum', 'method', 'base', 'propose', 'learning', 'task', 'dataset', 'learn', 'approach']}, {0: ['image', 'source', 'detection', 'high', 'datum', 'object', 'resolution', 'detect', 'signal', 'present'], 1: ['star', 'galaxy', 'mass', 'model', 'ray', 'cluster', 'find', 'emission', '10', 'line'], 2: ['model', 'network', 'propose', 'datum', 'method', 'base', 'learning', 'approach', 'system', 'task'], 3: ['method', 'algorithm', 'problem', 'time', 'propose', 'model', 'base', 'result', 'function', 'system'], 4: ['space', 'theory', 'group', 'function', 'field', 'equation', 'operator', 'result', 'algebra', 'non'], 5: ['graph', 'set', 'number', 'paper', 'result', 'structure', 'give', 'problem', 'class', 'prove'], 6: ['magnetic', 'field', 'effect', 'electron', 'temperature', 'magnetic field', 'spin', 'surface', 'high', 'wave'], 7: ['hole', 'black', 'black hole', 'solution', 'alpha', 'time', 'flow', 'delta', 'omega', 'equation'], 8: ['energy', 'model', 'mass', 'decay', 'quark', 'neutrino', 'result', 'particle', 'datum', 'gamma'], 9: ['state', 'quantum', 'system', 'model', 'phase', 'interaction', 'transition', 'dynamic', 'energy', 'spin']}, {0: ['field', 'magnetic', 'galaxy', 'mass', 'magnetic field', 'cluster', 'dark', 'matter', 'star', 'formation'], 1: ['model', 'network', 'propose', 'base', 'datum', 'method', 'system', 'approach', 'image', 'performance'], 2: ['model', 'energy', 'decay', 'mass', 'quark', 'neutrino', 'datum', 'gamma', 'particle', 'collision'], 3: ['method', 'algorithm', 'model', 'problem', 'error', 'base', 'result', 'simulation', 'parameter', 'present'], 4: ['star', 'ray', 'emission', 'line', 'observation', 'source', 'find', 'high', 'galaxy', '10'], 5: ['quantum', 'state', 'spin', 'phase', 'system', 'field', 'hole', 'interaction', 'transition', 'black'], 6: ['equation', 'solution', 'theory', 'model', 'time', 'system', 'function', 'field', 'non', 'result'], 7: ['group', 'space', 'prove', 'result', 'graph', 'set', 'algebra', 'function', 'paper', 'number'], 8: ['frequency', 'mode', 'wave', 'optical', 'channel', 'lambda', 'signal', 'time', 'system', 'high'], 9: ['temperature', 'surface', 'structure', 'effect', 'model', 'study', 'result', 'find', 'material', 'density']}]",10,8,40000,True
12,"[694.911850950871, 696.4593363001044, 688.8164898101018, 696.8970892127418, 693.6867532690574]","[-10.796673885006648, -11.769826440689682, -12.487691170567174, -11.923848573899384, -11.51088999994998]","[0.5145723248386229, 0.4972570591621715, 0.5064521051021186, 0.5353398392033426, 0.5080146593313742]","[0.24974239954206634, 0.24819439381270347, 0.25220927151268097, 0.2632147832180004, 0.2515128901183377]","[0.0015815711, 0.010105466, 0.0077572195, 0.009058185, 0.007132634]","[16.13516659400193, 14.823753065997153, 14.939103363001777, 15.174609730995144, 14.788767956997617]","[10.11310380899522, 9.511719121997885, 9.67058440999972, 9.845930086994485, 9.572288273993763]","[0.8402185500017367, 0.7720704910025233, 0.8367848540001432, 0.8163898960046936, 0.79962373500166]","[5.181839615004719, 4.539960882997548, 4.431730109005002, 4.512285767996218, 4.416852408001432]","[{0: ['quantum', 'frequency', 'state', 'mode', 'measurement', 'optical', 'system', 'high', 'wave', 'photon'], 1: ['phase', 'temperature', 'state', 'spin', 'transition', 'density', 'energy', 'order', 'model', 'find'], 2: ['galaxy', 'cluster', 'mass', 'black', 'hole', 'black hole', 'rm', 'redshift', 'find', '10'], 3: ['theory', 'quantum', 'field', 'model', 'system', 'symmetry', 'non', 'state', 'gauge', 'space'], 4: ['model', 'datum', 'base', 'algorithm', 'system', 'method', 'paper', 'approach', 'propose', 'problem'], 5: ['group', 'space', 'algebra', 'prove', 'mathbb', 'mathcal', 'result', 'set', 'class', 'finite'], 6: ['star', 'ray', 'emission', 'line', 'source', 'observation', 'high', 'find', 'disk', 'region'], 7: ['field', 'magnetic', 'particle', 'flow', 'magnetic field', 'effect', 'simulation', 'surface', 'model', 'result'], 8: ['equation', 'solution', 'function', 'problem', 'graph', 'result', 'condition', 'paper', 'obtain', 'order'], 9: ['time', 'model', 'distribution', 'algorithm', 'system', 'method', 'rate', 'process', 'result', 'problem'], 10: ['model', 'energy', 'mass', 'decay', 'quark', 'neutrino', 'datum', 'gamma', 'matter', 'result'], 11: ['network', 'method', 'propose', 'image', 'model', 'base', 'datum', 'feature', 'approach', 'neural']}, {0: ['group', 'space', 'function', 'prove', 'result', 'mathbb', 'algebra', 'operator', 'mathcal', 'finite'], 1: ['star', 'ray', 'galaxy', 'mass', 'emission', '10', 'high', 'line', 'find', 'observation'], 2: ['energy', 'decay', 'model', 'neutrino', 'mass', 'gamma', 'quark', 'datum', 'production', 'result'], 3: ['cluster', 'study', 'galaxy', 'high', 'population', 'system', 'field', 'research', 'formation', 'new'], 4: ['time', 'particle', 'wave', 'hole', 'black', 'model', 'energy', 'black hole', 'equation', 'dynamic'], 5: ['graph', 'problem', 'number', 'algorithm', 'bound', 'set', 'random', 'result', 'time', 'bind'], 6: ['state', 'phase', 'spin', 'temperature', 'quantum', 'transition', 'system', 'electron', 'interaction', 'effect'], 7: ['equation', 'method', 'solution', 'problem', 'result', 'function', 'system', 'numerical', 'order', 'approximation'], 8: ['field', 'theory', 'model', 'magnetic', 'symmetry', 'magnetic field', 'gauge', 'non', 'scalar', 'loop'], 9: ['model', 'network', 'propose', 'method', 'base', 'datum', 'performance', 'image', 'approach', 'algorithm'], 10: ['quantum', 'system', 'theory', 'paper', 'information', 'classical', 'present', 'provide', 'control', 'new'], 11: ['model', 'datum', 'distribution', 'parameter', 'method', 'code', 'analysis', 'noise', 'measurement', 'signal']}, {0: ['group', 'space', 'prove', 'result', 'function', 'algebra', 'mathbb', 'operator', 'paper', 'class'], 1: ['theory', 'field', 'model', 'symmetry', 'gauge', 'non', 'energy', 'scalar', 'equation', 'term'], 2: ['galaxy', 'star', 'cluster', 'line', 'emission', 'find', 'source', 'formation', 'sample', 'stellar'], 3: ['magnetic', 'field', 'phase', 'spin', 'temperature', 'transition', 'state', 'effect', 'electron', 'magnetic field'], 4: ['quantum', 'state', 'system', 'code', 'classical', 'information', 'photon', 'qubit', 'entanglement', 'measurement'], 5: ['energy', 'model', 'decay', 'quark', 'mass', 'neutrino', 'datum', 'pi', 'result', 'gamma'], 6: ['model', 'datum', 'propose', 'learning', 'method', 'image', 'task', 'network', 'base', 'learn'], 7: ['problem', 'algorithm', 'function', 'method', 'distribution', 'model', 'result', 'optimal', 'time', 'set'], 8: ['equation', 'solution', 'model', 'time', 'system', 'flow', 'particle', 'dynamic', 'result', 'study'], 9: ['model', 'mass', 'ray', '10', 'star', 'observation', 'find', 'high', 'time', 'disk'], 10: ['network', 'graph', 'edge', 'node', 'user', 'vertex', 'number', 'structure', 'tree', 'study'], 11: ['method', 'system', 'base', 'propose', 'design', 'high', 'performance', 'time', 'application', 'control']}, {0: ['model', 'time', 'simulation', 'flow', 'dynamic', 'study', 'scale', 'rate', 'process', 'evolution'], 1: ['network', 'method', 'propose', 'image', 'model', 'base', 'task', 'feature', 'neural', 'learning'], 2: ['quantum', 'state', 'photon', 'energy', 'electron', 'system', 'beam', 'measurement', 'atom', 'scatter'], 3: ['high', 'method', 'base', 'signal', 'device', 'technique', 'resolution', 'measurement', 'simulation', 'low'], 4: ['theory', 'field', 'model', 'quantum', 'symmetry', 'state', 'non', 'gauge', 'system', 'dimensional'], 5: ['group', 'space', 'prove', 'result', 'graph', 'function', 'algebra', 'set', 'number', 'paper'], 6: ['equation', 'solution', 'method', 'time', 'problem', 'function', 'system', 'result', 'model', 'obtain'], 7: ['model', 'mass', 'energy', 'matter', 'hole', 'black', 'decay', 'black hole', 'dark', 'quark'], 8: ['magnetic', 'field', 'temperature', 'phase', 'spin', 'transition', 'magnetic field', 'effect', 'state', 'energy'], 9: ['algorithm', 'system', 'problem', 'network', 'paper', 'base', 'propose', 'user', 'information', 'time'], 10: ['model', 'datum', 'distribution', 'language', 'method', 'test', 'domain', 'approach', 'text', 'set'], 11: ['star', 'galaxy', 'ray', 'mass', 'cluster', 'emission', 'line', 'find', 'source', '10']}, {0: ['space', 'group', 'prove', 'result', 'function', 'set', 'algebra', 'graph', 'paper', 'operator'], 1: ['star', 'galaxy', 'mass', 'cluster', 'find', 'line', 'model', 'observation', 'stellar', 'high'], 2: ['method', 'algorithm', 'problem', 'propose', 'model', 'datum', 'base', 'error', 'function', 'approach'], 3: ['model', 'image', 'propose', 'method', 'network', 'task', 'learning', 'learn', 'dataset', 'datum'], 4: ['phase', 'model', 'temperature', 'transition', 'density', 'study', 'particle', 'find', 'critical', 'system'], 5: ['energy', 'ray', 'gamma', 'high', 'rm', 'power', 'source', '10', 'cross', 'collision'], 6: ['model', 'decay', 'dark', 'neutrino', 'mass', 'matter', 'pi', 'mu', 'bar', 'dark matter'], 7: ['time', 'equation', 'problem', 'solution', 'system', 'model', 'process', 'dynamic', 'result', 'rate'], 8: ['quantum', 'state', 'hole', 'black', 'black hole', 'system', 'classical', 'entropy', 'time', 'entanglement'], 9: ['spin', 'magnetic', 'state', 'field', 'electron', 'effect', 'mode', 'wave', 'structure', 'frequency'], 10: ['system', 'network', 'base', 'design', 'paper', 'user', 'datum', 'provide', 'propose', 'information'], 11: ['theory', 'field', 'model', 'gauge', 'symmetry', 'non', 'scalar', 'term', 'energy', 'order']}]",12,8,40000,True
