,perplexity,coherence,homogeneity,completeness,silhouette,time,train time,test time,evaluation time,numClusters,numTopics,numAbstracts,preprocessing?
2,"[2660.9710979420543, 2695.928647235404, 2616.228933635818, 2747.156864275215, 2655.1638039622007]",[],"[0.2202004604496287, 0.29280390725824434, 0.3160531486167547, 0.27376214506911617, 0.448240723688739]","[0.3131697887619267, 0.41107188383265697, 0.43881846483897247, 0.37913369828976207, 0.6144331958706513]","[0.037290797, 0.04940139, 0.0498563, 0.04187665, 0.059062976]","[9.754630234999695, 9.782070847999876, 10.147626257999946, 9.595438824999746, 10.620536348999849]","[9.431445210999755, 9.502552043999913, 9.867466693000097, 9.250363014999948, 10.34084573500013]","[0.07707985500019277, 0.07719660700013264, 0.0738262750001013, 0.07889780300001803, 0.07529515999976866]","[0.2460985080001592, 0.20230898699992395, 0.20632251999995788, 0.266168966999885, 0.20438414399995963]",2,3,3000,False
4,"[3536.770463178473, 3664.5212044128803, 3661.4526312213743, 3934.284004629272, 3781.4422921830305]",[],"[0.5123111829510704, 0.48547748248443856, 0.5149556923542666, 0.44603681708423343, 0.5145937013549747]","[0.3861613318509864, 0.340170274552091, 0.3943248126037978, 0.33255441428192634, 0.38405128509300673]","[0.039555073, 0.03577189, 0.034650292, 0.028540535, 0.037111383]","[9.111432307000086, 8.922234255999683, 9.450575326000035, 9.158283847999883, 9.024329027000022]","[8.801462559000356, 8.638913218999733, 9.164493149999998, 8.875940014999742, 8.72623847900013]","[0.08060520799972437, 0.07645657400007622, 0.07594299200036403, 0.07573338200018043, 0.07949688400003652]","[0.22935462000032203, 0.2068560930001695, 0.2101304039997558, 0.20660073099998044, 0.2185834139995677]",4,3,3000,False
6,"[5113.798835971617, 5177.194706915352, 5085.107131776971, 5151.023268429034, 5098.7322345442135]",[],"[0.4993035711101734, 0.4821256253838923, 0.3473740720457879, 0.4326936486509336, 0.5070376128262934]","[0.2774781431605684, 0.28969733509747747, 0.1962738819576795, 0.25404070707830817, 0.33516621918835515]","[0.016177544, 0.006744207, 0.0012684782, 0.020376272, 0.014383473]","[12.836452187000305, 9.385977573000218, 8.895738133000123, 9.616005295999912, 11.371041375999994]","[12.544942882000214, 9.102913298000203, 8.600656325999807, 9.330670472999827, 11.076539750999927]","[0.08119906999991144, 0.07625018299995645, 0.07741200800001025, 0.07704953500024203, 0.0807660880000185]","[0.21030136500030494, 0.2068076820000897, 0.21765972900038832, 0.2082786579999265, 0.21372459699978208]",6,3,3000,False
8,"[6655.735910512865, 7667.770580782989, 6205.3386822829425, 7068.396187592636, 6812.486927494919]",[],"[0.3175761505605911, 0.3688655679096519, 0.49676917186953085, 0.4712657483488024, 0.47662440461237654]","[0.20249456743361813, 0.1716809373819703, 0.2844826447991931, 0.22723753448026893, 0.26804481670814856]","[-0.009973973, -0.0062897904, 0.019247234, -0.00459692, 0.012709355]","[10.31277530699981, 10.112009285000113, 9.651874479000071, 9.825144516999899, 10.360983214000044]","[9.998934854999789, 9.811448429000393, 9.357763606999924, 9.533795403000113, 10.050040933000219]","[0.08198985300032291, 0.08369547799975408, 0.08015560500007268, 0.08060349800007316, 0.08152765099976023]","[0.23184241899980407, 0.21685377799985872, 0.21394540700021025, 0.21073475599996527, 0.2294063700001061]",8,3,3000,False
10,"[8388.814863294663, 8248.275525983092, 8565.688814849032, 8349.954027797465, 9091.711344186613]",[],"[0.43053769762292365, 0.49434667684320976, 0.5363861968796481, 0.42962680787751084, 0.47346352078114795]","[0.251096182265334, 0.27726336297148424, 0.2863491330889308, 0.24849505720697732, 0.21748799439027672]","[-0.062457047, 0.0055576907, -0.025239617, -0.0075546727, -0.010378113]","[9.26476844600029, 9.826096159999906, 8.804101636999803, 10.123304925999946, 10.84900758699996]","[8.967234010000084, 9.517700877999687, 8.493920849000006, 9.773384709999846, 10.549216654000247]","[0.0847210020001512, 0.08540709299995797, 0.0862298560000454, 0.0843736900001204, 0.08328749699967375]","[0.21280385399995794, 0.22297446900029172, 0.2239393919999202, 0.26553752599966174, 0.21649672600005943]",10,3,3000,False
12,"[10574.097995051858, 11140.789216218747, 9881.277051566642, 11024.3316281806, 10776.716633750086]",[],"[0.45871660418554, 0.43380208019829, 0.3675594132460217, 0.4351285213957873, 0.501018261437428]","[0.24658086701563034, 0.2547794878040533, 0.2005161009284294, 0.22414752483353645, 0.25371959122934135]","[-0.09119547, -0.00079395797, -0.05251653, -0.013534479, -0.016658189]","[9.73219927800028, 9.711433214999943, 9.872402960000272, 10.331630663000396, 9.20410747699998]","[9.428950242000155, 9.410672317999797, 9.56661100600013, 10.020633761000227, 8.880183840999962]","[0.08568869600003381, 0.08501890400020784, 0.08540254399986225, 0.08376289899979383, 0.08570224499999313]","[0.21755226000004768, 0.21573371300019062, 0.22038057000008848, 0.2272214430004169, 0.2382099209999069]",12,3,3000,False
14,"[12426.907599312717, 13065.658269153339, 12466.531024431739, 13224.42428297896, 12703.57486123187]",[],"[0.5196486601258369, 0.5149072263242152, 0.5099583620246586, 0.5532152268140973, 0.4543210587096999]","[0.2559439116960384, 0.2625776011887097, 0.2539563673348689, 0.26502484631420037, 0.2296823636233196]","[0.005030974, -0.00080544414, -0.009468206, -0.015931215, -0.030932084]","[11.389697619999879, 9.855164490999869, 10.617759390000174, 9.53057883199972, 10.472602518999793]","[11.065458261999993, 9.551593905000118, 10.28770847199985, 9.22708413600003, 10.147781639000186]","[0.09155211600000257, 0.08607945599987943, 0.09085145300014119, 0.08477706199983004, 0.08721899099964503]","[0.23267475199963883, 0.21748393999996551, 0.23918109499982165, 0.2187066239998785, 0.2375898089999282]",14,3,3000,False
