,perplexity,coherence,homogeneity,completeness,silhouette,time,train time,test time,evaluation time,numClusters,numTopics,numAbstracts,preprocessing?
2,"[2594.3477510687744, 2652.8333870483234, 2612.6415490391887, 2676.566592694684, 2680.2243221502645]",[],"[0.35964392971407555, 0.39677804870769096, 0.31527535848456273, 0.32638752767779317, 0.2174327530565006]","[0.4937354620349223, 0.5474050429974473, 0.4354026336892797, 0.45286718650253155, 0.32735923413891]","[0.048870284, 0.058521792, 0.052038006, 0.04876736, 0.052180544]","[2.1351706600003126, 1.287426867999784, 1.4130239510000138, 1.2074105819997385, 1.2840163860000757]","[2.0320961150000585, 1.1926551809997363, 1.315621044999716, 1.1135002480000367, 1.183959941000012]","[0.04368901099996947, 0.041322521999973105, 0.04708879200006777, 0.04250143599983858, 0.043941940999957296]","[0.05937787400034722, 0.05344387500008452, 0.05030919399996492, 0.051402957999926, 0.05610929300019052]",2,3,3000,False
4,"[2601.3316970965534, 2866.327359656411, 2919.290173879317, 3563.534430389269, 3425.291402237904]",[],"[0.00812921499756975, 0.4053487593453273, 0.18823669732142048, 0.45617239921519753, 0.5577350461833325]","[0.24561278042793744, 0.558778062063154, 0.26484097092442627, 0.3164535558686615, 0.4527217676694685]","[0.041167952, 0.057274397, -0.015748799, 0.026345788, 0.053019706]","[0.8010800710003423, 1.197607858000083, 1.1692634709997947, 1.281656527999985, 1.2934861389999242]","[0.7164283900001465, 1.1007181039999523, 1.0649792419999358, 1.1739229469999373, 1.183673109999745]","[0.03768675999981497, 0.04419473200005086, 0.04490891399973407, 0.0515016569997897, 0.048991958999977214]","[0.0469616909999786, 0.05268971199984662, 0.059369784999944386, 0.05622682400007761, 0.06081435000032798]",4,3,3000,False
6,"[3551.423774885623, 4612.1925531275, 3357.7293810473875, 3940.0730967852837, 4393.771376757526]",[],"[0.5164258426340115, 0.4690404710190664, 0.529518669377857, 0.3119756092131601, 0.4074830335629953]","[0.49477370673431004, 0.30223860347528475, 0.4819395311144627, 0.31108361174342186, 0.3004392480415534]","[0.051238287, 0.007582162, 0.06776604, -0.029590135, 0.018124705]","[1.2402648249999402, 1.3628632979998656, 1.1715004380002938, 1.2602538049995928, 1.4271561089999523]","[1.1328721550003138, 1.2494209970000156, 1.0683788720002667, 1.1408445629999733, 1.2962382780001462]","[0.048001024999848596, 0.04541733599990039, 0.04354316099988864, 0.05081063499983429, 0.05871563199980301]","[0.05938635499978773, 0.06801848500026608, 0.059572804999788787, 0.06859326699986923, 0.0721969290002562]",6,3,3000,False
8,"[5208.417033200277, 4860.904974632261, 4223.804618123803, 4622.5607612951635, 4339.770596716506]",[],"[0.35326590565324245, 0.581516453770087, 0.48203633528280015, 0.23367480120212777, 0.4121306610712964]","[0.24029675587711827, 0.33545816213158247, 0.44165274517614855, 0.23449116143018175, 0.3176225697121307]","[0.016177934, 0.024471888, 0.01813656, 0.00020267547, 0.029554551]","[1.6293050770000264, 1.6422280510000746, 1.4840088050000304, 1.6365482910000537, 1.7512051559997417]","[1.3250233579997257, 1.3339860080000108, 1.1779069499998513, 1.3282902290002312, 1.437143352000021]","[0.14321199400001206, 0.14561573199989652, 0.14237201100013408, 0.14273138199996538, 0.1471365889997287]","[0.16106491500022457, 0.16262212100036777, 0.163725463999981, 0.16552120000005743, 0.16692118500031938]",8,3,3000,False
10,"[4950.3796255464595, 5780.22780302712, 5971.066936564471, 5542.027644083975, 6045.121978027702]",[],"[0.43658062646723345, 0.5082634397309038, 0.599081164821702, 0.4326836974714527, 0.48710502588801263]","[0.35190011477897154, 0.34840882833482906, 0.3616712058453986, 0.3086305130287858, 0.3075021252571131]","[-0.00834161, -0.0050863503, -0.010079741, 0.026687019, 0.0008550004]","[1.5851292639999883, 1.6706628890001411, 1.6394621520003057, 1.7143174400002863, 1.7029934500001218]","[1.3812472119998347, 1.357285800000227, 1.431334244000027, 1.4056161759999668, 1.478097985000204]","[0.04006189799974891, 0.14644420399963565, 0.04653518000031909, 0.14267716200038194, 0.15445394300013504]","[0.16381162400011817, 0.16692897500024628, 0.16158529799986354, 0.16601689199978864, 0.07043427199960206]",10,3,3000,False
12,"[6095.878936624026, 5574.351057867348, 6049.939620044258, 6131.70655021906, 6398.125565245583]",[],"[0.4902069651137557, 0.5166830559882345, 0.5842634251936938, 0.48216324528201054, 0.4606882937232891]","[0.33449028171030143, 0.5456985810519329, 0.396180763462422, 0.31020782967415134, 0.36919245580602017]","[0.029560445, -0.002662677, -0.04400169, 0.018243833, -0.014917126]","[1.737712780000038, 1.6356179280001015, 1.7028239100000064, 1.8529524769996897, 1.8613234960002956]","[1.4218411910001123, 1.3361174960000426, 1.3942419959998915, 1.5403101889996833, 1.5353480420003507]","[0.14232367099975818, 0.143668924999929, 0.144199707000098, 0.14658575600014956, 0.14921135499980664]","[0.17354228800013516, 0.15582447699989643, 0.1643772870002067, 0.16604960199993002, 0.17675701899997875]",12,3,3000,False
14,"[8161.626723437836, 8456.244576332707, 7235.487797476336, 6458.325582458279, 8126.257984703835]",[],"[0.33659382747042343, 0.5437347201448828, 0.45027553385636987, 0.27081043925408704, 0.4874250601375785]","[0.2205077522509337, 0.3585179439907962, 0.2641192614223664, 0.38600359700614134, 0.2853115807796389]","[-0.017901916, 0.0028503335, -0.026618151, -0.0047854753, 0.00022107402]","[1.8884140389995991, 1.8474157079999713, 1.9507736140003544, 1.750814304999949, 1.8625508199997967]","[1.6496330559998569, 1.5348449909997726, 1.63143643300009, 1.4281308730001, 1.6367425519997596]","[0.15304324799990354, 0.14622142400003213, 0.14794095000024754, 0.14897266299976764, 0.15326089800009868]","[0.08573026500016567, 0.1663444129999334, 0.1713833409999097, 0.17369990900033372, 0.07254134999993767]",14,3,3000,False
