,perplexity,coherence,homogeneity,completeness,silhouette,time,train time,test time,evaluation time,numClusters,numTopics,numAbstracts,preprocessing?
2,"[14342.537985514584, 17330.493614825315, 15640.800501675461, 16138.081536276237, 17250.63471761142]",[],"[0.05808176758373585, 0.13537975859156473, 0.060185994068712216, 0.15932886563468396, 0.0697612192047953]","[0.09448684373312073, 0.22936450043316456, 0.09999633996128199, 0.2720951374438563, 0.15445016172232542]","[0.004593532478060171, -0.000435427683227527, -0.0026039362345713795, 0.024613547207742382, 0.04083476478298722]","[0.636174541003129, 0.6344529579946538, 0.6470531939994544, 0.6223784430039814, 0.607562051001878]","[0.6056225060019642, 0.604740574999596, 0.6173469709974597, 0.5925019790010992, 0.5786587399998098]","[0.016320495000400115, 0.01615553399460623, 0.016021463998185936, 0.01625119399977848, 0.01596404400333995]","[0.014227480001864024, 0.013554069002566393, 0.013678868999704719, 0.013620359997730702, 0.01293621699733194]",2,6,300,True
4,"[44016.767846466835, 56922.58990445285, 51277.87564114312, 55331.46463415931, 59683.32873080686]",[],"[0.2831638614465287, 0.1608831753536759, 0.16817496542102214, 0.23154379197681815, 0.14048292604207502]","[0.24904410787168682, 0.17434745152819972, 0.14732144754995732, 0.198226325288645, 0.14067378854165935]","[-0.04055880146714814, 0.010616205610752123, -0.0669558414677803, -0.018893539117130043, -0.04922865104965203]","[0.5639294680004241, 0.5628534860006766, 0.5518019930023002, 0.565169291003258, 0.5533244660036871]","[0.533843163997517, 0.5324531910009682, 0.5191307330023847, 0.5313269390026107, 0.521709719003411]","[0.016079125001851935, 0.016111844997794833, 0.017331456998363137, 0.017996068003412802, 0.016879155999049544]","[0.014002789001096971, 0.014285310004197527, 0.015335242998844478, 0.015843673994822893, 0.0147313409979688]",4,6,300,True
