,f1,accuracy,recall,precision,confusion matrix
0,0.8325,0.8325,0.8325,0.8325,"[[   2    4   14   22    0]
 [   1  273  106   31    0]
 [   1   30 1089   28    0]
 [   0   11   54  301    1]
 [   0    0    8   24    0]]"
1,0.8305,0.8305,0.8305,0.8305,"[[   2    4   11   25    0]
 [   0  283   93   36    0]
 [   0   31 1087   29    0]
 [   0   13   64  287    3]
 [   0    0   13   17    2]]"
2,0.8255,0.8255,0.8255,0.8255,"[[   1    6   10   25    0]
 [   2  293   90   26    0]
 [   0   43 1064   40    0]
 [   0   13   63  292    0]
 [   0    1    3   27    1]]"
3,0.8289999999999998,0.829,0.829,0.829,"[[   1    7   13   22    0]
 [   2  290   85   34    0]
 [   0   26 1092   29    0]
 [   1   28   64  273    1]
 [   0    0    6   24    2]]"
4,0.8265,0.8265,0.8265,0.8265,"[[   1    4   11   26    0]
 [   1  272  105   33    0]
 [   0   31 1084   32    0]
 [   1   17   52  295    2]
 [   0    2    8   22    1]]"
