,f1,accuracy,recall,precision,confusion matrix
0,0.575,0.575,0.575,0.575,"[[   0    0   42    0    0]
 [   0    0  411    0    0]
 [   0    0 1148    0    0]
 [   0    0  365    2    0]
 [   0    0   32    0    0]]"
1,0.574,0.574,0.574,0.574,"[[   0    0   42    0    0]
 [   0    0  412    0    0]
 [   0    0 1147    0    0]
 [   0    0  366    1    0]
 [   0    0   32    0    0]]"
2,0.574,0.574,0.574,0.574,"[[   0    0   42    0    0]
 [   0    0  411    0    0]
 [   0    0 1147    0    0]
 [   0    0  367    1    0]
 [   0    0   32    0    0]]"
3,0.5735,0.5735,0.5735,0.5735,"[[   0    0   43    0    0]
 [   0    0  411    0    0]
 [   0    0 1147    0    0]
 [   0    0  367    0    0]
 [   0    0   32    0    0]]"
4,0.574,0.574,0.574,0.574,"[[   0    0   42    0    0]
 [   0    0  411    0    0]
 [   0    0 1147    0    0]
 [   0    0  366    1    0]
 [   0    0   33    0    0]]"
