,f1,accuracy,recall,precision,confusion matrix
0,0.831,0.831,0.831,0.831,"[[   3    6   11   22    0]
 [   2  290   81   38    0]
 [   2   42 1075   29    0]
 [   0   14   55  294    4]
 [   0    2    7   23    0]]"
1,0.83,0.83,0.83,0.83,"[[   2    4   11   25    0]
 [   3  292   84   32    1]
 [   0   31 1086   30    0]
 [   1   24   62  278    2]
 [   0    1   13   16    2]]"
2,0.8184999999999999,0.8185,0.8185,0.8185,"[[   0   11   11   20    0]
 [   0  292   89   29    1]
 [   1   53 1056   37    0]
 [   1   19   60  287    1]
 [   0    1    2   27    2]]"
3,0.827,0.827,0.827,0.827,"[[   2    6   12   23    0]
 [   3  297   79   31    1]
 [   0   33 1083   31    0]
 [   4   34   59  269    1]
 [   0    1    8   20    3]]"
4,0.82,0.82,0.82,0.82,"[[   2    5    8   27    0]
 [   1  280   93   37    0]
 [   1   44 1071   31    0]
 [   0   27   51  285    4]
 [   0    2    8   21    2]]"
