,f1,accuracy,recall,precision,confusion matrix
0,0.6895066562255286,0.375,0.8805,0.5666023166023166,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
1,0.6986410871302958,0.418,0.874,0.5818908122503329,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
2,0.7263157894736842,0.499,0.9315,0.5952076677316294,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
3,0.6731029156207762,0.3215,0.8715,0.5482856244101919,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
4,0.7003797721367179,0.4175,0.876,0.5834165834165834,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
