,f1,accuracy,recall,precision,confusion matrix
0,0.893,0.893,0.893,0.893,"[[   8    7    7   20    0]
 [   1  371   23   15    1]
 [   2   33 1102   11    0]
 [   5   29   27  303    3]
 [   0    2    6   22    2]]"
1,0.8925,0.8925,0.8925,0.8925,"[[  15    3    8   16    0]
 [   8  356   36   12    0]
 [   0   28 1101   17    1]
 [   5   35   15  310    2]
 [   0    2    6   21    3]]"
2,0.905,0.905,0.905,0.905,"[[  10   10    7   13    2]
 [   2  367   24   18    0]
 [   1   27 1102   17    0]
 [   2   17   20  327    2]
 [   0    2    1   25    4]]"
3,0.8925,0.8925,0.8925,0.8925,"[[  11    4   11   16    1]
 [   1  358   35   17    0]
 [   1   25 1104   17    0]
 [   3   28   24  308    4]
 [   0    0    2   26    4]]"
4,0.895,0.895,0.895,0.895,"[[  13    9    3   17    0]
 [   6  360   31   14    0]
 [   1   23 1106   17    0]
 [   4   29   18  305   11]
 [   2    2    7   16    6]]"
