,silhouette,calinski,davies,homogeneity,completeness,vMeasure,rand,num topics
0,0.15292199051399008,2779.7971481110862,2.6085959179146774,0.006831651344160718,0.02300859330712952,0.010535214387868782,0.008101503264609993,2
1,0.05362306528525655,1854.6195391881142,3.363837820127646,0.013028456597775564,0.02828964640284812,0.017840626919409193,0.009463644559856989,3
2,0.048924414262137624,1345.6242843593814,4.352869068135459,0.053096820450945034,0.09239945924844047,0.0674397655749761,0.0352185965804597,4
3,0.023036526996657158,1009.4113435378454,3.895955499611803,0.04187628581417134,0.07325096152719733,0.05328848334191948,0.030998770295839105,5
4,0.03162783497425292,902.2619185667265,4.886638772412578,0.034840485922648996,0.04908809417144496,0.040754962184097444,0.0232951000036513,6
5,-0.07584541431390363,682.0828708142899,2.9732682424662706,0.018517045393290153,0.03368022026909644,0.0238962006788903,0.014963920162158981,7
6,-0.0533743567850619,564.6220223927684,2.99289721760007,0.029371278913255902,0.0489456825697741,0.03671228472437677,0.02535375645583836,8
7,-0.036048507207187455,590.7533110879618,4.315542344007281,0.051593054971465484,0.06375578499018031,0.05703318248958616,0.02879319500153333,9
8,-0.01025938507364052,552.6434831690277,5.146690689010335,0.06714486168354859,0.07266070255096706,0.06979397206866902,0.03987766554777486,10
9,-0.01984695333142762,511.59767792489487,4.884582917361225,0.07779161539653115,0.08368825723723243,0.08063227464849429,0.03957809943340563,11
10,-0.017657223691865377,447.354874843154,3.699533251598517,0.06668899074489908,0.0778235705900573,0.07182732533244389,0.03934506063031958,12
11,-0.017651892869515688,443.62531713958356,5.425696241606446,0.09166445095384378,0.08626993750537926,0.08888542033644321,0.04022777870336625,13
12,-0.06727840283428538,398.715377414935,4.32354755328871,0.08000013036149459,0.08281681675535292,0.08138410962585457,0.041318094201398384,14
13,-0.04537009834712552,368.2331830423536,4.218211504760264,0.06793205680179745,0.06837308330161053,0.06815185656293389,0.03716264589182638,15
14,-0.089660360593176,341.36092479211186,3.759989473923298,0.06948304439218822,0.0732242395335431,0.07130460262618758,0.035799100440726074,16
15,-0.07895948002764502,323.4032060353574,3.9821652406074595,0.07930628751319146,0.08133321647010511,0.08030696422495796,0.039274856763948304,17
16,-0.03720771986256233,319.44886656800554,4.887833557256911,0.09712248948108083,0.08695140642254358,0.0917559441460422,0.039005416588015755,18
17,-0.05215873388037351,298.67148472406166,4.249125930278195,0.08562418780809668,0.08106024034248371,0.08327973188454214,0.03538805843599209,19
