,silhouette,calinski,davies,homogeneity,completeness,vMeasure,rand,time,num topics
0,0.009932594744357317,164.77146710944558,11.489930287075602,0.1646107991648872,0.5538520926085598,0.2537919122263834,0.11884246522558728,450.67659489801736,2
1,-0.013513341226687677,171.38665368117375,10.132582098824926,0.3515199385343717,0.7343434201173568,0.47544905506949,0.2875015728694813,455.42568613699405,3
2,-0.013489879137725593,168.22691853463215,9.235404872194291,0.427327454815164,0.7428040213866158,0.5425382674363245,0.3429365674937465,453.60062432000996,4
3,-0.021509889312505626,135.7917164350426,10.437400286016985,0.4489612632905877,0.6702310286105202,0.5377230909808972,0.359188416662968,454.93834510300076,5
4,-0.03916359719998758,143.6745039069817,8.436240080759088,0.5398569300006951,0.6863218750235418,0.6043419098819056,0.5128257362873437,454.3233352659736,6
5,-0.03802313594975913,108.83950927034357,8.819345594929855,0.5229455089476331,0.6805797360338692,0.591439386791006,0.4477819525391841,444.7458892889845,7
6,-0.03480356149776395,110.54103586066496,9.527788372854332,0.5844762564346482,0.6921778536752107,0.6337840727560005,0.5252659197463281,452.1327960359922,8
7,-0.05297620637350363,98.95332528936054,10.042619125210459,0.5659583322882495,0.6026583508548543,0.583732065628286,0.49285767056378554,456.72185873100534,9
8,-0.058471560244511556,97.10108166656366,8.789547238317757,0.59294616214368,0.6097557809683096,0.6012335013520729,0.47745260327497574,454.23886656799004,10
9,-0.047395168964443894,84.3011586624344,9.95550902825381,0.5909235058108578,0.5967977239900675,0.5938460885796598,0.4713910323144322,468.53345652099233,11
10,-0.0431443307408622,79.55151847211032,9.617481383457358,0.6020474859500227,0.5946654975188033,0.5983337236379891,0.5073753962844458,462.01938633597456,12
11,-0.050722434507948055,76.00550415856341,9.538611980007309,0.6035711471519566,0.5591937525323304,0.5805356091980198,0.4403336451738876,466.96378047799226,13
12,-0.15722169414660003,68.21642676951222,9.118967874016633,0.5978018120735905,0.5858264489183763,0.5917535501062506,0.48190964024395716,465.63828109099995,14
13,-0.056326483121152696,69.5994411032393,9.99523303118838,0.613816871463526,0.5326821165056079,0.5703786460679273,0.4160767692487203,476.82445336400997,15
14,-0.17204953628636788,63.14421340426752,8.991364933156111,0.5916508305160133,0.5487158086866112,0.5693750637140741,0.4312810104517138,468.3279098350031,16
15,-0.10777101255804576,55.53251850549827,9.290922844791497,0.57328155600391,0.5141178739729636,0.5420902138359792,0.41019310326811825,475.3798886180157,17
16,-0.05662243897269674,59.29174565206254,9.592510885310931,0.6148127611054716,0.525961486161685,0.566926952141257,0.414467317417064,477.3087148689956,18
17,-0.06510662234651643,55.08644577462502,9.028883475169337,0.6031508535415623,0.5297813629323628,0.5640903782180001,0.4246325089791612,478.12700567001593,19
