,silhouette,calinski,davies,homogeneity,completeness,vMeasure,rand,time,num topics
0,0.1960626035352927,3475.8333222399388,2.487914195275656,0.007322078291672795,0.02815116768366356,0.011621437402436034,0.006338587448960112,187.02328150700487,2
1,0.09726798988658762,2321.091404926949,3.2495096346315933,0.011968490849920145,0.028211767343539182,0.016806874544484075,0.008848699812970187,176.8816218790016,3
2,0.036834745460143904,1727.0688203951192,4.235102051771218,0.016096037723535395,0.028515961700958922,0.020577154181953734,0.01098945525286087,172.0591041019943,4
3,-0.07800873390760722,1271.5943437090832,4.064641940472569,0.015025865540332506,0.027596183196885088,0.01945737243647325,0.010118525292601835,182.29586172899872,5
4,-0.07331663629613122,1108.3709309464402,4.306485958205564,0.03438494067032884,0.05011236080537158,0.04078498420777006,0.02074134504353503,171.3748416939925,6
5,0.029339012046694347,961.4693169696477,4.423056207406678,0.060408807755246596,0.08453409380458274,0.07046366212417962,0.037347536215450505,178.86485350500152,7
6,0.01781728932046745,840.0395740937099,4.461102710690513,0.05136840724869452,0.06752522973679997,0.05834901830961382,0.037170982409598874,170.55475950799882,8
7,-0.02302473632222201,747.3851808591801,4.03074262248457,0.05388464361183292,0.06421496056576682,0.058597999353677016,0.033928824760563324,175.115257974001,9
8,-0.07715498113737033,682.1175854722301,4.324902163705635,0.06384776414683652,0.0737370238090479,0.06843698602143906,0.03557462483823151,172.4620939000015,10
9,-0.03827222441280475,639.6033494216273,4.6955750094837665,0.0715102333758963,0.07662020110222982,0.07397707947636709,0.03582004410893906,178.5324006180017,11
10,-0.055895506042958516,582.4912395889346,5.156467233050743,0.06813074387509384,0.07249194580495517,0.0702437167697739,0.03615506492809406,173.9637497680087,12
11,-0.02060422187756667,519.7874510827911,4.086805808790539,0.06584811056033262,0.07389625943664979,0.06964043075917277,0.03629100555138672,181.27320312800293,13
12,-0.055818233288500524,498.29037592876455,5.158624647455236,0.07152450703851233,0.07069234193768342,0.07110598983017928,0.03335100388619642,175.8304836800089,14
13,-0.050890378308829434,444.98357541915306,3.6768490111922243,0.04920079610248304,0.05527969902950755,0.052063405655218054,0.024625207693969774,177.10108373399999,15
14,-0.12923084765460213,432.43748165207785,3.877675897323242,0.08084443132846914,0.08176049241237161,0.08129988148143173,0.03977308499556864,180.13769125798717,16
15,-0.09056151766824985,405.7341141347706,3.9348137554109894,0.0756600083502766,0.07718078448313066,0.07641283050447763,0.03537535679419654,179.92749005199585,17
16,-0.06821726324499532,397.33289489832293,5.05680191644878,0.07862345341246023,0.07280444132747706,0.07560214200642142,0.04027446790844033,175.9229625829903,18
17,-0.08924002186017396,372.38490937636055,4.383713069453381,0.08737838735561969,0.08407284658866176,0.08569375193532923,0.043289323735275,177.41326679500344,19
