,silhouette,calinski,davies,homogeneity,completeness,vMeasure,rand
0,0.1796577118106698,2805.057290110707,2.5432652324394085,0.006984382168374276,0.025267550464393353,0.010943730467966192,0.006944310210889538
1,0.11623130916568307,1801.3655600537527,3.4508263212077197,0.012160509559063759,0.030086008147434284,0.01732030044287748,0.00840345856939602
2,0.01394260468202319,1375.1579499538263,3.9939303214404065,0.015687866084669745,0.02781824340485388,0.020061958302715312,0.007510870213621673
3,0.05528220834451762,1090.9156426255875,4.452200213340972,0.05432430495501114,0.08737426432489669,0.06699497679513235,0.03552700174009672
4,0.054767847314438574,808.5362852518793,3.0607640873752846,0.04888810051301315,0.08680835461490642,0.06254983686614599,0.0353554485378497
5,-0.12123410590940689,767.2997186139565,4.257330573395091,0.05883438274640611,0.0790756908548457,0.06746961030768746,0.03198915660955159
6,-0.009361935331949726,686.4673820963103,4.344885007547623,0.06170676321488432,0.0752423460544194,0.06780564921502756,0.03881328226103714
7,0.007523987058421804,608.5172946161344,4.605544975438682,0.05646820494860765,0.0697485124985759,0.062409693078545415,0.032743433360712684
8,-0.01819009508924848,554.6082678039431,5.363740879439151,0.08769060948484349,0.09176572458537631,0.0896818979436102,0.0425829086871858
9,-0.02170158802896202,494.6085302006485,4.482340172630627,0.06726653226387443,0.07689860355470965,0.07176079525314692,0.0385710974071862
10,-0.04628897309965527,427.8815786777006,4.0002051601831,0.04180127266496964,0.048763657312096795,0.045014840423556315,0.020299545095590312
11,-0.048315058214601234,401.27301486023936,3.811950471730316,0.05941948319371698,0.06856271432689143,0.06366449600939743,0.030155359200159767
12,-0.04997664388523891,408.1331318128888,5.106921104028184,0.07886016039611782,0.07399644168686452,0.0763509221145741,0.03197769617156597
13,-0.07010552058083035,339.73702064308475,3.4346532031860817,0.0439900282896223,0.051185179771151425,0.0473156308669077,0.02649333097042219
14,-0.049836275657906284,355.62442631738793,5.188005340638027,0.0796717082069005,0.07471222390885347,0.07711230593986636,0.03407265782287894
15,-0.042007581396854086,328.85870128538306,4.394045239308559,0.07524057787911202,0.07325257196570807,0.07423326734722609,0.03847941475644664
16,-0.09761909228876488,285.75196790522904,3.0460538919635325,0.0598615252216114,0.06853944487398074,0.06390723847249015,0.03343443543981654
17,-0.0767493921341679,298.59731782041655,4.322174037967947,0.09321969369007212,0.08815081398065204,0.09061442219399286,0.039494221206520165
