,silhouette,calinski,davies,homogeneity,completeness,vMeasure,rand,num topics
0,0.030486100127712253,652.1318119771809,4.190341873221322,0.023528824904327065,0.10666008555026414,0.0385529991522286,0.01770277265397041,2
1,-0.021553929174867672,392.0299802966024,4.837382147986695,0.02756883546005141,0.09490906395113831,0.04272660423334105,0.01664236687703352,3
2,-0.009789937509463838,298.2004519961717,5.286582448647077,0.025093236120906193,0.07095994580354817,0.03707559998534126,0.01364701975921721,4
3,-0.035941518142585116,249.4893074306944,5.11002110460043,0.028354604051059763,0.07051134481838435,0.040445093306558065,0.014555660186439967,5
4,-0.0413393318433331,214.8210295760405,5.205145098998927,0.028200539322458217,0.06446306822495937,0.03923640226059676,0.014481395904616558,6
5,-0.05073371369315539,172.01049958531993,4.95860171176012,0.026294649596560662,0.06339334090213371,0.03717121270101795,0.012223873980286253,7
6,-0.05082181533468047,156.5724068310774,4.794432064889336,0.042175591445075745,0.09424219333797132,0.05827275746239891,0.014359881626438564,8
7,-0.054875914352366384,136.62140154977288,4.728565137136884,0.04122494800727996,0.0920964427011296,0.056955167386654355,0.013925362130680382,9
8,-0.05688759706026551,122.42963422873774,4.728199900393274,0.03820648261237297,0.08490041249741379,0.05269804150243509,0.01301238610290515,10
9,-0.06308293990236741,112.55749546287737,4.747549170194064,0.05723242463869606,0.12198060691440925,0.0779100250925962,0.01851571213763117,11
10,-0.0621041784363782,100.36482804097815,4.719135072341755,0.05625594646954094,0.12177348444050852,0.07695899028690346,0.018295419433943368,12
11,-0.0616992350218915,92.4634791739582,4.698377412186157,0.052109314574371034,0.11275357638641445,0.07127755126776954,0.015636974180128882,13
12,-0.07300933115358244,85.77256582565609,4.546834178385067,0.05348291135662971,0.11506219087712195,0.07302331392158831,0.01579764749102689,14
13,-0.07958499717552812,79.68548621146235,4.382901383086596,0.053288017688113906,0.1145956237550702,0.07274769087859272,0.015894880456705323,15
14,-0.09570197175196381,73.9283432124348,4.1990306070248,0.05305720564180123,0.11495749481214543,0.07260464025867952,0.015691239824061808,16
15,-0.10161530001173903,68.39689168174345,4.122348159412285,0.04845933754605529,0.10684309104830822,0.06667694073345352,0.013842235615588899,17
16,-0.10186571389881532,64.95374079869868,4.052802744710747,0.04806626847558897,0.10539908085064324,0.06602324941088651,0.013699078282960565,18
17,-0.10528029377370937,61.667253784314774,4.05010128764733,0.04708270970928727,0.10260091986352333,0.06454586035395812,0.013566829176190294,19
