,silhouette,calinski,davies,homogeneity,completeness,vMeasure,rand
0,0.04482082556347516,247.29858753977857,7.4955770000780415,0.16781253901393245,0.6964842489992861,0.2704598508955574,0.09490931292022955
1,0.0108564057609597,199.2084503837547,8.77505771960168,0.34199581422329906,0.7765170951715313,0.47485477188668784,0.24031754482001239
2,-0.0029005442370918866,119.74220688226302,9.485823909585651,0.3386489936960526,0.7295547772449406,0.4625765193517455,0.2427399415492386
3,-0.012710885444757842,142.95342678930248,8.619640843097354,0.3934608690523824,0.638357037383202,0.4868465901355804,0.26069998991290033
4,-0.02224108524567384,132.15931384158424,8.924789543794803,0.4951296550426522,0.6507362716942171,0.5623674082800219,0.4016668409682845
5,-0.10194563737477796,123.75218820555467,7.562302265558812,0.4311404389986032,0.6443842682037548,0.5166224716488808,0.34055314021285266
6,-0.11428801965699145,77.72484236623232,9.133203765213807,0.4176540251928761,0.5906944289476146,0.4893266903835718,0.31202309203220296
7,-0.12387575144844577,76.65378051880592,7.495866918633208,0.4016300198573056,0.5596744064556599,0.4676604763811451,0.29426771467926643
8,-0.10518406460229884,81.54367838505615,9.68817549417696,0.47712773253515983,0.5305274630788994,0.502412663792619,0.32917345109749385
9,-0.1016345392411582,78.8216474428731,7.138796277335225,0.5194585649532831,0.6114330192301304,0.5617056898759705,0.45121248129671504
10,-0.135605623328148,66.7571504998934,9.777969673336145,0.4695670413099092,0.5427591908026034,0.5035171850424063,0.3630093984973132
11,-0.12940216163451465,64.13746126689095,7.787622639563659,0.4571055401246316,0.5671417690771469,0.506212986555529,0.37190413622065294
12,-0.13466483442679195,57.91014292728491,8.594804855027574,0.4469453373002321,0.4897801228468959,0.4673833508792906,0.3266197474614593
13,-0.13508123028230676,59.627405690360696,8.798838279449251,0.5066839404850713,0.5724891950206351,0.5375802485710561,0.3978697806542816
14,-0.09342596227336467,55.99743411026829,8.566900920404043,0.48530952503239044,0.5453734396147772,0.5135913448134547,0.3525653841124982
15,-0.1367035746713153,50.56931305984609,7.502306566833813,0.507010135567376,0.5658575216576494,0.534819922728438,0.44298260850266274
16,-0.07090400132385857,47.941882434910845,8.808745103533102,0.44636359142957444,0.4735410213260488,0.45955084481020125,0.28412264204267346
17,-0.13974715761899606,47.71763847957622,8.168491997411753,0.5285703175323176,0.5239090958300792,0.5262293848699205,0.34893243185855755
