,num hidden 1,num hidden 2,num hidden 3,f1,auc,acc,recall,precision,time
0,64,64,64,0.43533333333333335,0.5475000000000001,0.246,0.53,0.38799999999999996,0.2766140217994689
1,64,64,128,0.16399999999999998,0.523,0.16399999999999998,0.16399999999999998,0.16399999999999998,0.2878793925992795
2,64,128,64,0.406,0.5545,0.40599999999999997,0.40599999999999997,0.40599999999999997,0.2895073589999811
3,64,128,128,0.502833841944649,0.5824999999999999,0.20400000000000001,0.696,0.4146556822540711,0.27597637699946065
4,128,64,64,0.406,0.5545,0.40599999999999997,0.40599999999999997,0.40599999999999997,0.27697311320080187
5,128,64,128,0.48339204545454556,0.611,0.388,0.532,0.45020512820512815,0.28153770759963664
6,128,128,64,0.49103035366193265,0.603,0.38,0.5359999999999999,0.47099608287805383,0.2687657584028784
7,128,128,128,0.47786905445622097,0.6104999999999998,0.42400000000000004,0.476,0.48379435931601156,0.2709389591982472
